,geo_code,geo_label,all,bicycle,foot,car_driver,car_passenger,train,light_rail,bus,taxi,motorbike,other,cycperc,cycwalk
2,E02001245,Tameside 017,3625,49,443,2407,229,101,8,323,32,19,14,0.013517241,0.099593496
11,E02001073,Manchester 029,5071,483,353,2634,221,91,68,1153,26,21,21,0.095247486,0.577751196
33,E02001019,Bury 001,4192,37,374,3189,220,13,49,273,9,16,12,0.008826336,0.090024331
60,E02001261,Trafford 003,3894,210,501,2159,235,57,132,532,33,12,23,0.053929122,0.29535865
123,E02001001,Bolton 018,3398,34,361,2230,261,168,8,238,51,24,23,0.010005886,0.086075949
194,E02001255,Tameside 027,1973,15,192,1126,126,69,5,411,9,14,6,0.007602636,0.072463768
199,E02001039,Bury 021,3461,53,307,2155,229,21,300,331,32,18,15,0.015313493,0.147222222
209,E02006915,Manchester 058,2979,75,775,1108,134,92,61,657,42,7,28,0.025176234,0.088235294
211,E02001321,Wigan 035,3873,58,301,2978,254,61,2,155,14,35,15,0.014975471,0.161559889
212,E02001260,Trafford 002,3598,120,318,2573,210,42,19,253,26,28,9,0.033351862,0.273972603
244,E02001131,Oldham 034,2260,33,190,1456,163,16,8,354,18,16,6,0.01460177,0.147982063
253,E02001059,Manchester 015,3601,110,494,1507,174,57,43,1157,27,16,16,0.03054707,0.182119205
255,E02001032,Bury 014,3467,72,215,2404,237,21,174,267,23,33,21,0.020767234,0.25087108
256,E02001129,Oldham 032,2428,48,268,1363,139,29,4,524,18,20,15,0.019769357,0.151898734
267,E02001231,Tameside 003,3215,24,176,2365,211,140,9,241,15,17,17,0.007465008,0.12
273,E02001092,Manchester 048,3544,132,377,2149,224,19,19,546,37,18,23,0.03724605,0.259332024
279,E02001052,Manchester 008,3895,78,529,1786,205,80,273,784,95,8,57,0.020025674,0.128500824
288,E02000996,Bolton 013,2606,44,302,1567,205,60,8,315,71,22,12,0.016884114,0.12716763
296,E02001101,Oldham 004,2796,28,186,2088,163,18,1,269,9,18,16,0.010014306,0.130841121
